권역,구분,도시명,물동량,code
수도권,출발,서울특별시,114558,11
영남권,출발,부산광역시,1324433,21
영남권,출발,대구광역시,59504,22
수도권,출발,인천광역시,183959,23
호남권,출발,광주광역시,42701,24
충청권,출발,세종특별자치시,33034,29
충청권,출발,대전광역시,908460,25
영남권,출발,울산광역시,91243,26
수도권,출발,경기도,369642,31
기타,출발,강원도,37007,32
충청권,출발,충청북도,224541,33
충청권,출발,충청남도,276818,34
호남권,출발,전라북도,128437,35
호남권,출발,전라남도,124472,36
영남권,출발,경상북도,209138,37
영남권,출발,경상남도,168716,38
기타,출발,제주특별자치도,0,39
수도권,도착,서울특별시,2727886,11
영남권,도착,부산광역시,524481,21
영남권,도착,대구광역시,188609,22
수도권,도착,인천광역시,641622,23
호남권,도착,광주광역시,234760,24
충청권,도착,세종특별자치시,326576,29
충청권,도착,대전광역시,908460,25
영남권,도착,울산광역시,176750,26
수도권,도착,경기도,5055054,31
기타,도착,강원도,1281678,32
충청권,도착,충청북도,2282543,33
충청권,도착,충청남도,2378267,34
호남권,도착,전라북도,1136717,35
호남권,도착,전라남도,712396,36
영남권,도착,경상북도,812770,37
영남권,도착,경상남도,430383,38
기타,도착,제주특별자치도,0,39
