지역,2020 년 대전 출발,2020 년 대전 도착,2021 년 대전 출발,2021 년 대전 도착,2022 년 대전 출발,2022 년 대전 도착,2023 년 대전 출발,2023 년 대전 도착
서울,"193,396","294,377","181,335","340,934","114,558","2,727,886","93,404","2,579,992"
부산,"1,317,637","688,262","1,449,224","720,759","1,324,433","524,481","1,313,504","499,720"
대구,"84,226","318,716","85,756","312,078","59,504","188,609","50,782","151,065"
인천,"239,712","993,047","247,595","1,041,055","183,959","641,622","176,803","644,155"
광주,"75,339","216,503","71,934","226,657","42,701","234,760","36,722","222,756"
세종,"117,059","607,431","113,024","597,467","33,034","326,576","26,410","328,454"
대전,"4,042,179","4,042,179","4,041,811","4,041,811","908,460","908,460","744,614","744,614"
울산,"249,076","175,649","219,687","172,952","91,243","176,750","87,049","178,063"
경기,"922,966","2,736,630","871,498","3,183,600","369,642","5,055,054","326,228","4,882,808"
강원,"119,361","668,926","113,149","610,815","37,007","1,281,678","28,579","1,015,145"
충북,"754,804","1,576,999","712,155","1,615,031","224,541","2,282,543","180,756","2,273,988"
충남,"964,371","2,535,641","876,909","2,707,191","276,818","2,378,267","243,034","5,077,334"
전북,"210,730","1,965,197","193,770","2,057,164","128,437","1,136,717","104,010","1,028,214"
전남,"328,154","1,228,904","272,482","1,236,053","124,472","712,396","110,047","642,219"
경북,"582,819","988,440","560,180","954,677","209,138","812,770","192,106","807,340"
경남,"288,464","830,463","287,143","765,900","168,716","430,383","145,714","431,977"
제주,0,0,0,0,0,0,0,0
