"구분","city","region","total_2021","total_2022","gap_vol"
"도착","대전","충청권","4041811","908460","-3133351"
"도착","서울","수도권","340934","2727886","2386952"
"도착","경기","수도권","3183600","5055054","1871454"
"도착","기타 (12개 지자체)","기타","10960635","9990835","-969800"
"도착","전북","호남권","2057164","1136717","-920447"
"출발","대전","충청권","4041811","908460","-3133351"
"출발","기타 (12개 지자체)","기타","3795279","2517202","-1278077"
"출발","충남","충청권","876909","276818","-600091"
"출발","경기","수도권","871498","369642","-501856"
"출발","충북","충청권","712155","224541","-487614"
