권역,구분,도시명,2022년_물동량,2023년_물동량,물동량_변화량,code
충청권,도착,충청남도,2378267,5077334,2699067,34
기타,도착,강원도,1281678,1015145,-266533,32
수도권,도착,경기도,5055054,4882808,-172246,31
충청권,출발,대전광역시,908460,744614,-163846,25
충청권,도착,대전광역시,908460,744614,-163846,25
수도권,도착,서울특별시,2727886,2579992,-147894,11
호남권,도착,전라북도,1136717,1028214,-108503,35
호남권,도착,전라남도,712396,642219,-70177,36
충청권,출발,충청북도,224541,180756,-43785,33
수도권,출발,경기도,369642,326228,-43414,31
영남권,도착,대구광역시,188609,151065,-37544,22
충청권,출발,충청남도,276818,243034,-33784,34
영남권,도착,부산광역시,524481,499720,-24761,21
호남권,출발,전라북도,128437,104010,-24427,35
영남권,출발,경상남도,168716,145714,-23002,38
수도권,출발,서울특별시,114558,93404,-21154,11
영남권,출발,경상북도,209138,192106,-17032,37
호남권,출발,전라남도,124472,110047,-14425,36
호남권,도착,광주광역시,234760,222756,-12004,24
영남권,출발,부산광역시,1324433,1313504,-10929,21
영남권,출발,대구광역시,59504,50782,-8722,22
충청권,도착,충청북도,2282543,2273988,-8555,33
기타,출발,강원도,37007,28579,-8428,32
수도권,출발,인천광역시,183959,176803,-7156,23
충청권,출발,세종특별자치시,33034,26410,-6624,29
호남권,출발,광주광역시,42701,36722,-5979,24
영남권,도착,경상북도,812770,807340,-5430,37
영남권,출발,울산광역시,91243,87049,-4194,26
수도권,도착,인천광역시,641622,644155,2533,23
충청권,도착,세종특별자치시,326576,328454,1878,29
영남권,도착,경상남도,430383,431977,1594,38
영남권,도착,울산광역시,176750,178063,1313,26
기타,출발,제주특별자치도,0,0,0,39
기타,도착,제주특별자치도,0,0,0,39
