PRESIDENT_NAME,STORAGE_ITEM,FROZEN_AREA,RNUM,COMPANY_NAME,FROZEN_WING_COUNT,GENERAL_WING_COUNT,GENERAL_AREA,COMPANY_TEL,COMPANY_ADDRESS,WARE_NO,STORAGE_AREA
노삼석,택배상품외 전 품목,0,1,㈜한진,0,1,2070.11,033-264-4153,강원특별자치도 춘천시 신북읍 용산리 269,2012S41800000001,0
박정수,"농,수,임,축산물 및 가공품 등",41398.81,2,(주)삼진냉장,4,4,9833.22,031-763-6661,경기도 광주시 장지동 467번지 1호,2016S55401980003,0
강병구,생활용품,0,3,롯데글로벌로지스(주),0,2,25363,010-3923-3641,경기도 이천시 부발읍 고백리 239번지 10호,2018S40700980017,0
강병구,"담배, 식품, 잡화",0,4,롯데글로벌로지스(주),0,1,5308.5,044-863-3805,세종특별자치시 부강면 부강리 671번지 1호,2018S56902070002,0
김학균,,,5,고려수산(주),,,,051-201-3161,부산광역시 사하구 원양로 353 (감천동),2019A62600000135,
경승표,,,6,삼일냉장(주) 제2물류센터,,,,051-264-6400,부산광역시 사하구 감천항로 239 (구평동),2019A62600001386,
㈜세인티앤엘,,,7,㈜세인티앤엘,,,,01054555403,인천광역시 중구 자유무역로 25(3층 운서동),2019A62800001080,
명재승,,,8,엘리트,,,,01044516878,"대전광역시 중구 대둔산로300번길 36, 1,2층 (사정동)",2019A63000001505,
박준규,,,9,(주)고려택배,,,,031-240-2400,경기도 화성시 효행구 봉담읍 왕림2길 42-25,2019A64100000116,
"오광현,김영훈",,,10,청오DPK 용인HUB센터,,,,031-8094-2005,경기도 용인시 처인구 백암면 덕평로 140,2019A64100000118,
장덕수,,,11,(주)농협물류,,,,070-4146-3300,"경기도 안성시 양성면 양성로 376-106, 안성축산센터(서안성로지플러스)",2019A64100000173,
이선정,,,12,세림로지스,,,,031-375-3492,"경기도 오산시 오산로 149, 308, B09, 709호 (오산동)",2019A64100000301,
이민재,,,13,(주)비지에프로지스,,,,031-352-4535,"경기도 화성시 만세구 팔탄면 시청로721번길 25, 중부로지스(주)",2019A64100000394,
허경숙,,,14,(주)토탈에프앤비,,,,010-9084-8687,경기도 용인시 처인구 모현읍 초부로 132-4,2019A64100000531,
안병국,,,15,웰빙푸드시스템(주),,,,1688-9972,"경기도 용인시 처인구 백암면 덕평로 140, 비1층",2019A64100000572,
김윤호,,,16,(주)신양 포승지점,,,,031-686-9400,경기도 평택시 포승읍 평택항만길 267,2019A64100000590,
성희승,,,17,(주)한맥홈푸드,,,,031-531-3838,경기도 포천시 내촌면 금강로 3089,2019A64100000600,
조해상,,,18,(주)씨케이에프푸드시스템,,,,031-322-1084,"경기도 용인시 처인구 이동읍 문화로 137-9, 1층",2019A64100000617,
윤진,,,19,(주)에스피씨 지에프에스,,,,010-9219-8817,"경기도 광주시 도척면 도척로 401-85, 1, 2, 3층",2019A64100000672,
유인철,,,20,(주)한익스프레스,,,,010-6560-7791,경기도 이천시 모가면 공원로 112,2019A64100000764,
공철,,,21,(주)일죽창고,,,,070-8656-9620,경기도 안성시 일죽면 사실로 161-41,2019A64100000827,
이지훈,,,22,(주)정다운 자연일가,,,,031-950-3014,경기도 파주시 법원읍 자운서원로 396-8,2019A64100000845,
신동섭,,,23,(주)코업로지스틱스,,,,031-693-5870,"경기도 화성시 동탄구 동탄물류로 48, 동탄물류단지B블럭 2층 (신동)",2019A64100000947,
조희태,,,24,(주)티에프글로벌냉장,,,,070-7599-2829,경기도 용인시 기흥구 고매로43번길 1(공세동),2019A64100000965,
박상임,,,25,(주)푸드엠코리아,,,,010-3040-4631,"경기도 남양주시 와부읍 수레로 682-1, 1층",2019A64100000974,
양수일,,,26,(주)해피브릿지로지스,,,,010-6401-6909,경기도 안성시 죽산면 송문주로 219,2019A64100001041,
민경국,,,27,농업회사법인 주식회사 백산더블유,,,,010-3050-8374,경기도 이천시 마장면 서이천로 556,2019A64100001177,
임정배,,,28,대상 용인 BH센터,,,,,"경기도 용인시 처인구 백암면 근곡로107번길 4-1, 3층",2019A64100001224,
최종일,,,29,세방 주식회사,,,,031-673-2636,경기도 안성시 양성면 남북대로 2066,2019A64100001412,
이광수,,,30,아미종합물류(주)문형센타,,,,031-768-0671,경기도 광주시 오포읍 오포로 636,2019A64100001478,
박광순,,,31,엑소후레쉬물류(주),,,,031-330-2406,경기도 부천시 오정구 신흥로511번길 80(켄달스퀘어 부천 로지스틱스파크 1층일부층 오정동),2019A64100001502,
최진웅,,,32,우주특수산업(주),,,,031-272-6491,"경기도 용인시 처인구 모현읍 포은대로 1114, 우주",2019A64100001532,
이민재,,,33,주)비지에프로지스 양주센터,,,,031-826-1262,경기도 양주시 백석읍 양주산성로 572,2019A64100001570,
김태훈,,,34,지엠푸드(GM푸드),,,,032-673-1003,경기도 부천시 오정구 신흥로 370(2층일부 내동),2019A64100001628,
정승공,,,35,케이제이네트웍(주),,,,010-2972-4604,경기도 평택시 포승읍 하만호길 153,2019A64100001638,
유용식,,,36,동부로지스(주),,,,033-731-1870,"강원특별자치도 원주시 문막읍 원문로 2057, 1동 2층",2019A64200000364,
박현숙,,,37,만진냉동,,,,033-641-8845,강원특별자치도 강릉시 강동면 오이동길 58,2019A64200001168,
양은석,,,38,(주)엔티로지스,,,,043-750-7740,충청북도 음성군 맹동면 덕금로 56,2019A64300000739,
배수형,,,39,주식회사 안심엘피씨,,,,043-877-3396,충청북도 음성군 대소면 대금로 20(1층),2019A64300001299,
이운익,,,40,(주)삼양사,,,,041-553-2316,충청남도 천안시 동남구 풍세면 풍세산단로 33,2019A64400000484,
임성호,,,41,(주)제때,,,,041-740-1237,충청남도 논산시 연무읍 감바위로 44-13,2019A64400000500,
이경도,,,42,천일물류(주) 논산지점,,,,041-741-7924,충청남도 논산시 연무읍 감바위로 44-13,2019A64400000791,
노재상,,,43,반포농협하나로마트,,,,041-857-7006,충청남도 공주시 반포면 반포초교길 36-8,2019A64400000982,
이제만,,,44,대전충남양돈농협 포크빌축산물공판장,,,,580-5000,충청남도 천안시 동남구 성남면 5산단1로 81,2019A64400001242,
최항석,,,45,주식회사 나인팜스,,,,0637323210,전북특별자치도 군산시 서수면 동군산로 965,2019A64500000103,
하이로지스 주식회사,,,46,하이로지스 주식회사,,,,063-262-8443,전북특별자치도 완주군 봉동읍 완주산단2로 282-21,2019A64500000803,
이민재,,,47,주식회사 비지에프로지스,,,,061-334-3007,전남광주통합특별시 나주시 동수농공단지길 62-237(운곡동),2019A64600000234,
농업회사법인 부경식품 주식회사,,,48,부경식품 주식회사,,,,070-4896-2540,"전남광주통합특별시 영광군 대마면 전기차2로 157, (주)부경식품",2019A64600000631,
